Day,Topic,Resources,Hands-On Task,Completed,Notes
1,Git & GitHub,"Git Handbook (https://docs.github.com/en/get-started/using-git); Learn Git Branching (https://learngitbranching.js.org/)","Create a repo, clone it, create branches, merge, resolve conflict, push PR.",,
2,OOP & SOLID Principles,"SOLID Explained (https://www.freecodecamp.org/news/solid-principles-explained-in-python/)","Build a class-based library system using OOP and apply SOLID principles.",,
3,Design Patterns,"Refactoring.Guru - Patterns (https://refactoring.guru/design-patterns); Python Design Patterns (https://python-patterns.guide/)","Implement Singleton logger, Factory for notification sender.",,
4,REST APIs Basics,"FastAPI Docs (https://fastapi.tiangolo.com/); REST Concepts (https://restfulapi.net/)","Build a CRUD Book API (GET, POST, PUT, DELETE).",,
5,API Design Best Practices,"Best Practices (https://restfulapi.net/best-practices/); Pagination in FastAPI (https://fastapi.tiangolo.com/advanced/pagination/)","Add pagination, error handling, and query parameters to your API.",,
6,API Testing (Unit + Integration),"Pytest Tutorial (https://docs.pytest.org/en/stable/); API Testing with Pytest (https://fastapi.tiangolo.com/tutorial/testing/)","Write unit tests for each endpoint with mocked DB responses and integration tests using TestClient.",,
7,Debugging & Logging,"Python Logging Docs (https://docs.python.org/3/library/logging.html); pdb Debugger (https://docs.python.org/3/library/pdb.html)","Add logging with levels, and use pdb to debug a bug in API.",,
8,SQL & Joins,"SQLBolt (https://sqlbolt.com/); LeetCode DB Practice (https://leetcode.com/problemset/database/)","Create schema: users, orders, products; write joins.",,
9,NoSQL & Redis,"Redis Basics (https://redis.io/docs/); Mongo vs Redis (https://www.geeksforgeeks.org/difference-between-mongodb-and-redis/)","Integrate Redis into API for caching product data.",,
10,Query Optimization,"Postgres Indexes (https://www.postgresql.org/docs/current/indexes.html); EXPLAIN in PostgreSQL (https://www.postgresql.org/docs/current/sql-explain.html)","Add indexes to slow queries; analyze using EXPLAIN ANALYZE.",,
11,LLD Basics,"Low-Level Design Primer (https://github.com/tssovi/low-level-design-primer)","Design a Movie Booking app: class structure + methods.",,
12,LLD with Patterns,"System Design for Beginners (https://bytebytego.com/)","Extend booking system to support multiple notification channels.",,
13,JWT & OAuth,"JWT Auth with FastAPI (https://fastapi.tiangolo.com/tutorial/security/oauth2-jwt/)","Implement JWT login with token refresh and protected endpoints.",,
14,Buffer & Review Day,,"Catch up on tasks, refactor code, improve tests.",,
15,HLD Basics,"Gaurav Sen - System Design (https://www.youtube.com/c/GauravSen)","Design high-level diagram for URL shortener + architecture.",,
16,Caching & CDN,"How Caching Works (https://www.cloudflare.com/learning/cdn/what-is-caching/); Cloudflare CDN Guide (https://developers.cloudflare.com/cdn/)","Use Redis TTL to cache product list responses.",,
17,Load Balancing,"NGINX Load Balancer Guide (https://docs.nginx.com/nginx/admin-guide/load-balancer/http-load-balancer/)","Simulate load using Locust; explain round-robin setup.",,
18,Message Queues,"Kafka vs RabbitMQ (https://www.confluent.io/resources/kafka-vs-rabbitmq/); Kafka in Python (https://www.confluent.io/blog/kafka-fastapi/)","Add Kafka to queue orders and consume in background task.",,
19,Docker Basics,"Docker for Beginners (https://docs.docker.com/get-started/)","Dockerize your FastAPI app with Dockerfile.",,
20,Docker Compose,"Docker Compose Docs (https://docs.docker.com/compose/)","Create docker-compose.yml for FastAPI + Redis + Postgres.",,
21,CI/CD Pipelines,"GitHub Actions Guide (https://docs.github.com/en/actions)","Build a CI workflow: lint, test, Docker build/push.",,
22,AWS Basics (EC2, IAM),"AWS EC2 Quickstart (https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EC2_GetStarted.html)","Launch EC2, install Docker, deploy your app.",,
23,Nginx + Gunicorn Deployment,"FastAPI Deployment Guide (https://fastapi.tiangolo.com/deployment/)","Deploy Docker app on EC2 behind Nginx using Gunicorn.",,
24,Secrets & Env Management,"python-dotenv (https://pypi.org/project/python-dotenv/)","Store DB creds and API keys securely using .env.",,
25,Logging & Monitoring,"Prometheus with FastAPI (https://github.com/stephenmcd/prometheus-fastapi-instrumentator)","Add Prometheus metrics and expose /metrics endpoint.",,
26,Observability,"FastAPI Logging Guide (https://medium.com/@kagemusha_/logging-in-fastapi-ae1a0f6f6c59)","Add structured logs, status monitors, and health check /health.",,
27,Security Best Practices,"OWASP Top 10 (https://owasp.org/Top10/)","Add CORS headers, input validation, rate limiting using slowapi.",,
28,Concurrency in Python,"Async Guide (https://realpython.com/async-io-python/)","Convert endpoints to async; use httpx for async HTTP calls.",,
29,Resume & Code Cleanup Day,,"Finalize README, diagrams, deployment notes; polish codebase.",,
30,Mock Interview Day,"System Design Interview Repo (https://github.com/donnemartin/system-design-primer)","Do 1 LLD, 1 HLD, 1 behavioral STAR answer (record and review).",,
